#median_bin_length(cM)	mean_posterior_tmrca
2.025	32.61
2.075	33.5
2.125	34.36
2.175	35.19
2.225	35.99
2.275	36.76
2.325	37.5
2.375	38.2
2.425	38.86
2.475	39.49
2.525	40.08
2.575	40.64
2.625	41.15
2.675	41.63
2.725	42.07
2.775	42.47
2.825	42.83
2.875	43.16
2.925	43.44
2.975	43.69
3.025	43.9
3.075	44.08
3.125	44.22
3.175	44.33
3.225	44.4
3.275	44.44
3.325	44.45
3.375	44.44
3.425	44.39
3.475	44.31
3.525	44.21
3.575	44.08
3.625	43.93
3.675	43.76
3.725	43.57
3.775	43.35
3.825	43.12
3.875	42.87
3.925	42.61
3.975	42.33
4.025	42.04
4.075	41.74
4.125	41.43
4.175	41.11
4.225	40.77
4.275	40.44
4.325	40.09
4.375	39.74
4.425	39.39
4.475	39.03
4.525	38.67
4.575	38.3
4.625	37.94
4.675	37.57
4.725	37.2
4.775	36.83
4.825	36.47
4.875	36.1
4.925	35.74
4.975	35.38
5.025	35.02
5.075	34.66
5.125	34.31
5.175	33.96
5.225	33.61
5.275	33.27
5.325	32.93
5.375	32.59
5.425	32.26
5.475	31.93
5.525	31.61
5.575	31.29
5.625	30.98
5.675	30.67
5.725	30.36
5.775	30.06
5.825	29.77
5.875	29.48
5.925	29.19
5.975	28.91
6.025	28.63
6.075	28.35
6.125	28.08
6.175	27.82
6.225	27.56
6.275	27.3
6.325	27.05
6.375	26.8
6.425	26.56
6.475	26.32
6.525	26.08
6.575	25.85
6.625	25.62
6.675	25.4
6.725	25.18
6.775	24.96
6.825	24.75
6.875	24.54
6.925	24.33
6.975	24.13
7.025	23.93
7.075	23.74
7.125	23.54
7.175	23.35
7.225	23.17
7.275	22.98
7.325	22.8
7.375	22.62
7.425	22.45
7.475	22.27
7.525	22.1
7.575	21.94
7.625	21.77
7.675	21.61
7.725	21.45
7.775	21.29
7.825	21.14
7.875	20.98
7.925	20.83
7.975	20.68
8.025	20.54
8.075	20.39
8.125	20.25
8.175	20.11
8.225	19.97
8.275	19.84
8.325	19.7
8.375	19.57
8.425	19.44
8.475	19.31
8.525	19.19
8.575	19.06
8.625	18.94
8.675	18.81
8.725	18.69
8.775	18.57
8.825	18.46
8.875	18.34
8.925	18.23
8.975	18.11
9.025	18.0
9.075	17.89
9.125	17.78
9.175	17.68
9.225	17.57
9.275	17.47
9.325	17.36
9.375	17.26
9.425	17.16
9.475	17.06
9.525	16.96
9.575	16.86
9.625	16.77
9.675	16.67
9.725	16.58
9.775	16.49
9.825	16.39
9.875	16.3
9.925	16.21
9.975	16.13
10.025	16.04
10.075	15.95
10.125	15.86
10.175	15.78
10.225	15.7
10.275	15.61
10.325	15.53
10.375	15.45
10.425	15.37
10.475	15.29
10.525	15.21
10.575	15.13
10.625	15.06
10.675	14.98
10.725	14.9
10.775	14.83
10.825	14.75
10.875	14.68
10.925	14.61
10.975	14.54
11.025	14.47
11.075	14.4
11.125	14.33
11.175	14.26
11.225	14.19
11.275	14.12
11.325	14.05
11.375	13.99
11.425	13.92
11.475	13.86
11.525	13.79
11.575	13.73
11.625	13.66
11.675	13.6
11.725	13.54
11.775	13.48
11.825	13.42
11.875	13.36
11.925	13.3
11.975	13.24
12.025	13.18
12.075	13.12
12.125	13.06
12.175	13.01
12.225	12.95
12.275	12.89
12.325	12.84
12.375	12.78
12.425	12.73
12.475	12.67
12.525	12.62
12.575	12.57
12.625	12.51
12.675	12.46
12.725	12.41
12.775	12.36
12.825	12.31
12.875	12.25
12.925	12.2
12.975	12.15
13.025	12.1
13.075	12.06
13.125	12.01
13.175	11.96
13.225	11.91
13.275	11.86
13.325	11.82
13.375	11.77
13.425	11.72
13.475	11.68
13.525	11.63
13.575	11.59
13.625	11.54
13.675	11.5
13.725	11.45
13.775	11.41
13.825	11.36
13.875	11.32
13.925	11.28
13.975	11.24
14.025	11.19
14.075	11.15
14.125	11.11
14.175	11.07
14.225	11.03
14.275	10.99
14.325	10.95
14.375	10.91
14.425	10.87
14.475	10.83
14.525	10.79
14.575	10.75
14.625	10.71
14.675	10.67
14.725	10.63
14.775	10.6
14.825	10.56
14.875	10.52
14.925	10.48
14.975	10.45
15.025	10.41
15.075	10.38
15.125	10.34
15.175	10.3
15.225	10.27
15.275	10.23
15.325	10.2
15.375	10.16
15.425	10.13
15.475	10.09
15.525	10.06
15.575	10.03
15.625	9.99
15.675	9.96
15.725	9.93
15.775	9.89
15.825	9.86
15.875	9.83
15.925	9.8
15.975	9.76
16.025	9.73
16.075	9.7
16.125	9.67
16.175	9.64
16.225	9.61
16.275	9.58
16.325	9.55
16.375	9.51
16.425	9.48
