#median_bin_length(cM)	mean_posterior_tmrca	probability_coalesce_within_10_generation
2.025	100.64	0.0020790662777692517
2.075	99.39	0.0023000740394946823
2.125	98.07	0.0025386792967666575
2.175	96.7	0.0027957020505577027
2.225	95.28	0.003071951252986724
2.275	93.83	0.003368221042446851
2.325	92.35	0.003685287116290126
2.375	90.84	0.004023903287217412
2.425	89.32	0.004384798265442725
2.475	87.79	0.004768672703699868
2.525	86.25	0.005176196536409414
2.575	84.72	0.005608006638023018
2.625	83.18	0.006064704818917835
2.675	81.66	0.006546856170439311
2.725	80.14	0.0070549877639886575
2.775	78.64	0.007589587702614128
2.825	77.16	0.008151104517558185
2.875	75.69	0.008739946896777864
2.925	74.25	0.00935648372770272
2.975	72.83	0.010001044432497821
3.025	71.43	0.010673919570907003
3.075	70.06	0.011375361683372139
3.125	68.72	0.01210558634554585
3.175	67.4	0.012864773404496968
3.225	66.12	0.01365306836678945
3.275	64.86	0.014470583909123955
3.325	63.63	0.01531740148327999
3.375	62.43	0.016193572988593103
3.425	61.26	0.01709912248705866
3.475	60.12	0.01803404793827163
3.525	59.01	0.01899832293371486
3.575	57.93	0.019991898412307873
3.625	56.87	0.02101470434156238
3.675	55.85	0.022066651351091725
3.725	54.85	0.023147632307545213
3.775	53.88	0.024257523822240685
3.825	52.93	0.025396187684818838
3.875	52.02	0.026563472218123038
3.925	51.12	0.027759213551198644
3.975	50.26	0.02898323680880822
4.025	49.41	0.030235357217161352
4.075	48.59	0.031515381126678045
4.125	47.8	0.03282310695353838
4.175	47.02	0.034158326042537476
4.225	46.27	0.03552082345437397
4.275	45.54	0.03691037868096675
4.325	44.83	0.03832676629273269
4.375	44.14	0.0397697565219877
4.425	43.47	0.04123911578675873
4.475	42.82	0.04273460715934499
4.525	42.18	0.044255990783941435
4.575	41.56	0.045803024247555515
4.625	40.96	0.047375462908326206
4.675	40.38	0.048973060185186885
4.725	39.81	0.05059556781262755
4.775	39.26	0.05224273606410192
4.825	38.72	0.053914313947404285
4.875	38.19	0.05561004937511232
4.925	37.68	0.057329689312963894
4.975	37.18	0.05907297990880344
5.025	36.7	0.060839666604516535
5.075	36.23	0.06262949423314738
5.125	35.77	0.06444220710319365
5.175	35.32	0.06627754907187274
5.225	34.88	0.06813526360896936
5.275	34.45	0.07001509385270244
5.325	34.04	0.07191678265888517
5.375	33.63	0.07384007264450979
5.425	33.23	0.07578470622674358
5.475	32.84	0.0777504256582057
5.525	32.47	0.07973697305927659
5.575	32.1	0.08174409044808868
5.625	31.74	0.08377151976875868
5.675	31.38	0.08581900291833269
5.725	31.04	0.08788628177284599
5.775	30.7	0.0899730982128338
5.825	30.37	0.09207919414856257
5.875	30.05	0.09420431154521414
5.925	29.73	0.09634819244819604
5.975	29.42	0.0985105790087208
6.025	29.12	0.10069121350975915
6.075	28.83	0.10288983839244342
6.125	28.54	0.10510619628297346
6.175	28.25	0.10734003002005131
6.225	27.97	0.10959108268286169
6.275	27.7	0.11185909761958848
6.325	27.43	0.11414381847645493
6.375	27.17	0.11644498922726
6.425	26.92	0.11876235420337551
6.475	26.66	0.12109565812416327
6.525	26.42	0.12344464612776598
6.575	26.18	0.1258090638022226
6.625	25.94	0.12818865721685438
6.675	25.7	0.1305831729538713
6.725	25.48	0.1329923581401377
6.775	25.25	0.1354159604790515
6.825	25.03	0.13785372828247555
6.875	24.81	0.14030541050267142
6.925	24.6	0.14277075676418635
6.975	24.39	0.1452495173956374
7.025	24.19	0.14774144346135304
7.075	23.99	0.15024628679281946
7.125	23.79	0.1527638000198936
7.175	23.59	0.15529373660173948
7.225	23.4	0.1578358508574491
7.275	23.21	0.16038989799631453
7.325	23.03	0.16295563414771574
7.375	22.84	0.16553281639059245
7.425	22.67	0.16812120278247483
7.475	22.49	0.17072055238804354
7.525	22.32	0.17333062530719548
7.575	22.14	0.17595118270259696
7.625	21.98	0.1785819868267003
7.675	21.81	0.18122280104821004
7.725	21.65	0.1838733898779797
7.775	21.49	0.18653351899432757
7.825	21.33	0.18920295526776273
7.875	21.17	0.19188146678510215
7.925	21.02	0.19456882287298005
7.975	20.87	0.1972647941207368
8.025	20.72	0.19996915240268204
8.075	20.57	0.20268167089972997
8.125	20.43	0.20540212412040126
8.175	20.29	0.20813028792118962
8.225	20.15	0.21086593952629462
8.275	20.01	0.21360885754671732
8.325	19.87	0.2163588219987217
8.375	19.74	0.21911561432166293
8.425	19.6	0.22187901739518723
8.475	19.47	0.22464881555580132
8.525	19.34	0.2274247946128209
8.575	19.22	0.23020674186370085
8.625	19.09	0.2329944461087503
8.675	18.97	0.23578769766524343
8.725	18.84	0.2385862883809227
8.775	18.72	0.2413900116469135
8.825	18.6	0.24419866241004595
8.875	18.49	0.24701203718459652
8.925	18.37	0.2498299340634583
8.975	18.26	0.25265215272874203
9.025	18.14	0.25547849446182297
9.075	18.03	0.25830876215283527
9.125	17.92	0.2611427603096271
9.175	17.81	0.26398029506618337
9.225	17.7	0.26682117419052226
9.275	17.6	0.2696652070920804
9.325	17.49	0.27251220482858973
9.375	17.39	0.27536198011245533
9.425	17.29	0.2782143473166515
9.475	17.19	0.2810691224801317
9.525	17.09	0.28392612331277384
9.575	16.99	0.2867851691998598
9.625	16.89	0.28964608120610813
9.675	16.79	0.2925086820792626
9.725	16.7	0.2953727962532452
9.775	16.6	0.29823824985088504
9.825	16.51	0.3011048706862352
9.875	16.42	0.3039724882664764
9.925	16.33	0.3068409337934316
9.975	16.24	0.3097100401646814
10.025	16.15	0.3125796419743093
10.075	16.06	0.31544957551326386
10.125	15.97	0.3183196787693724
10.175	15.89	0.3211897914269854
10.225	15.8	0.3240597548662845
10.275	15.72	0.3269294121622471
10.325	15.63	0.32979860808328654
10.375	15.55	0.33266718908956544
10.425	15.47	0.33553500333099734
10.475	15.39	0.33840190064494274
10.525	15.31	0.3412677325536089
10.575	15.23	0.3441323522611585
10.625	15.15	0.34699561465053
10.675	15.07	0.349857376279993
10.725	15.0	0.35271749537942687
10.775	14.92	0.35557583184634556
10.825	14.85	0.35843224724166234
10.875	14.77	0.36128660478521235
10.925	14.7	0.364138769351037
10.975	14.63	0.36698860746242873
11.025	14.55	0.3698359872867583
11.075	14.48	0.37268077863007465
11.125	14.41	0.37552285293149884
11.175	14.34	0.37836208325740867
11.225	14.27	0.3811983442954152
11.275	14.2	0.38403151234816013
11.325	14.14	0.38686146532691373
11.375	14.07	0.38968808274498806
11.425	14.0	0.39251124571098805
11.475	13.94	0.395330836921878
11.525	13.87	0.3981467406558832
11.575	13.81	0.40095884276524574
11.625	13.74	0.403767030668805
11.675	13.68	0.40657119334445163
11.725	13.61	0.4093712213214177
11.775	13.55	0.41216700667243894
11.825	13.49	0.41495844300578605
11.875	13.43	0.4177454254571538
11.925	13.37	0.4205278506814435
11.975	13.31	0.42330561684440704
12.025	13.25	0.4260786236141977
12.075	13.19	0.4288467721527885
12.125	13.13	0.43160996510730093
12.175	13.07	0.43436810660123176
12.225	13.02	0.4371211022255641
12.275	12.96	0.43986885902981626
12.325	12.9	0.44261128551296963
12.375	12.85	0.44534829161433875
12.425	12.79	0.4480797887043388
12.475	12.74	0.4508056895751916
12.525	12.68	0.45352590843155116
12.575	12.63	0.45624036088106007
12.625	12.58	0.45894896392483564
12.675	12.52	0.46165163594790753
12.725	12.47	0.4643482967095781
12.775	12.42	0.4670388673337403
12.825	12.37	0.4697232702991358
12.875	12.31	0.4724014294295665
12.925	12.26	0.4750732698840627
12.975	12.21	0.47773871814700203
13.025	12.16	0.4803977020181902
13.075	12.11	0.48305015060291284
13.125	12.06	0.4856959943019372
13.175	12.02	0.48833516480149947
13.225	11.97	0.49096759506324833
13.275	11.92	0.4935932193141778
13.325	11.87	0.4962119730365212
13.375	11.82	0.498823792957633
13.425	11.78	0.5014286170398543
