#median_bin_length(cM)	mean_posterior_tmrca
2.025	56.16
2.075	56.25
2.125	56.32
2.175	56.35
2.225	56.35
2.275	56.32
2.325	56.27
2.375	56.19
2.425	56.09
2.475	55.97
2.525	55.82
2.575	55.66
2.625	55.49
2.675	55.29
2.725	55.09
2.775	54.86
2.825	54.63
2.875	54.38
2.925	54.12
2.975	53.85
3.025	53.57
3.075	53.28
3.125	52.98
3.175	52.67
3.225	52.36
3.275	52.04
3.325	51.71
3.375	51.38
3.425	51.04
3.475	50.69
3.525	50.34
3.575	49.99
3.625	49.63
3.675	49.27
3.725	48.9
3.775	48.53
3.825	48.16
3.875	47.79
3.925	47.42
3.975	47.04
4.025	46.66
4.075	46.28
4.125	45.9
4.175	45.52
4.225	45.14
4.275	44.76
4.325	44.38
4.375	44.0
4.425	43.62
4.475	43.24
4.525	42.86
4.575	42.49
4.625	42.11
4.675	41.74
4.725	41.37
4.775	41.0
4.825	40.63
4.875	40.26
4.925	39.9
4.975	39.54
5.025	39.18
5.075	38.82
5.125	38.47
5.175	38.11
5.225	37.77
5.275	37.42
5.325	37.08
5.375	36.74
5.425	36.41
5.475	36.07
5.525	35.75
5.575	35.42
5.625	35.1
5.675	34.78
5.725	34.47
5.775	34.16
5.825	33.85
5.875	33.55
5.925	33.25
5.975	32.95
6.025	32.66
6.075	32.37
6.125	32.09
6.175	31.81
6.225	31.53
6.275	31.26
6.325	30.99
6.375	30.73
6.425	30.46
6.475	30.21
6.525	29.95
6.575	29.7
6.625	29.46
6.675	29.22
6.725	28.98
6.775	28.74
6.825	28.51
6.875	28.28
6.925	28.06
6.975	27.84
7.025	27.62
7.075	27.41
7.125	27.2
7.175	26.99
7.225	26.79
7.275	26.59
7.325	26.39
7.375	26.2
7.425	26.01
7.475	25.82
7.525	25.64
7.575	25.46
7.625	25.28
7.675	25.1
7.725	24.93
7.775	24.76
7.825	24.6
7.875	24.43
7.925	24.27
7.975	24.11
8.025	23.96
8.075	23.8
8.125	23.65
8.175	23.5
8.225	23.36
8.275	23.21
8.325	23.07
8.375	22.93
8.425	22.8
8.475	22.66
8.525	22.53
8.575	22.4
8.625	22.27
8.675	22.15
8.725	22.02
8.775	21.9
8.825	21.78
8.875	21.66
8.925	21.55
8.975	21.43
9.025	21.32
9.075	21.21
9.125	21.1
9.175	20.99
9.225	20.88
9.275	20.78
9.325	20.67
9.375	20.57
9.425	20.47
9.475	20.37
9.525	20.28
9.575	20.18
9.625	20.08
9.675	19.99
9.725	19.9
9.775	19.81
9.825	19.72
9.875	19.63
9.925	19.54
9.975	19.46
10.025	19.37
10.075	19.29
10.125	19.21
10.175	19.12
10.225	19.04
10.275	18.96
10.325	18.88
10.375	18.81
10.425	18.73
10.475	18.65
10.525	18.58
10.575	18.5
10.625	18.43
10.675	18.36
10.725	18.29
10.775	18.22
10.825	18.15
10.875	18.08
10.925	18.01
10.975	17.94
11.025	17.87
11.075	17.81
11.125	17.74
11.175	17.68
11.225	17.61
11.275	17.55
11.325	17.49
11.375	17.42
11.425	17.36
11.475	17.3
11.525	17.24
11.575	17.18
11.625	17.12
11.675	17.06
11.725	17.0
11.775	16.95
11.825	16.89
11.875	16.83
11.925	16.77
11.975	16.72
12.025	16.66
12.075	16.61
12.125	16.55
12.175	16.5
12.225	16.44
12.275	16.39
12.325	16.34
12.375	16.29
12.425	16.23
12.475	16.18
12.525	16.13
12.575	16.08
12.625	16.03
12.675	15.98
12.725	15.93
12.775	15.88
12.825	15.83
12.875	15.78
12.925	15.73
12.975	15.68
13.025	15.64
13.075	15.59
13.125	15.54
13.175	15.49
13.225	15.45
13.275	15.4
13.325	15.35
13.375	15.31
13.425	15.26
13.475	15.22
13.525	15.17
13.575	15.13
13.625	15.08
13.675	15.04
13.725	14.99
13.775	14.95
13.825	14.9
13.875	14.86
13.925	14.82
13.975	14.77
14.025	14.73
14.075	14.69
14.125	14.65
14.175	14.6
14.225	14.56
14.275	14.52
14.325	14.48
14.375	14.44
14.425	14.4
14.475	14.35
14.525	14.31
14.575	14.27
14.625	14.23
14.675	14.19
14.725	14.15
14.775	14.11
14.825	14.07
14.875	14.03
14.925	13.99
14.975	13.95
15.025	13.91
15.075	13.87
15.125	13.84
15.175	13.8
15.225	13.76
15.275	13.72
15.325	13.68
15.375	13.64
15.425	13.6
15.475	13.57
15.525	13.53
15.575	13.49
15.625	13.45
15.675	13.42
15.725	13.38
15.775	13.34
15.825	13.31
15.875	13.27
15.925	13.23
15.975	13.2
16.025	13.16
16.075	13.12
16.125	13.09
16.175	13.05
16.225	13.01
16.275	12.98
16.325	12.94
16.375	12.91
16.425	12.87
16.475	12.84
16.525	12.8
16.575	12.77
16.625	12.73
16.675	12.7
16.725	12.66
16.775	12.63
16.825	12.59
16.875	12.56
16.925	12.52
16.975	12.49
17.025	12.46
17.075	12.42
17.125	12.39
17.175	12.35
17.225	12.32
17.275	12.29
17.325	12.25
17.375	12.22
17.425	12.19
17.475	12.15
17.525	12.12
17.575	12.09
17.625	12.05
17.675	12.02
17.725	11.99
17.775	11.96
17.825	11.92
17.875	11.89
17.925	11.86
17.975	11.83
18.025	11.79
18.075	11.76
18.125	11.73
18.175	11.7
18.225	11.67
18.275	11.63
18.325	11.6
18.375	11.57
18.425	11.54
18.475	11.51
18.525	11.48
18.575	11.45
18.625	11.42
18.675	11.38
18.725	11.35
18.775	11.32
18.825	11.29
18.875	11.26
18.925	11.23
18.975	11.2
19.025	11.17
19.075	11.14
19.125	11.11
19.175	11.08
19.225	11.05
19.275	11.02
19.325	10.99
19.375	10.96
19.425	10.93
19.475	10.9
19.525	10.87
19.575	10.84
19.625	10.81
19.675	10.79
19.725	10.76
19.775	10.73
19.825	10.7
19.875	10.67
19.925	10.64
19.975	10.61
20.025	10.58
20.075	10.56
20.125	10.53
20.175	10.5
20.225	10.47
20.275	10.44
20.325	10.41
20.375	10.39
20.425	10.36
20.475	10.33
20.525	10.3
20.575	10.28
20.625	10.25
20.675	10.22
20.725	10.19
20.775	10.17
20.825	10.14
20.875	10.11
20.925	10.08
20.975	10.06
21.025	10.03
21.075	10.0
21.125	9.98
21.175	9.95
21.225	9.92
21.275	9.9
21.325	9.87
21.375	9.84
21.425	9.82
21.475	9.79
21.525	9.77
21.575	9.74
21.625	9.71
21.675	9.69
21.725	9.66
21.775	9.64
21.825	9.61
21.875	9.59
21.925	9.56
21.975	9.54
22.025	9.51
22.075	9.49
22.125	9.46
22.175	9.44
22.225	9.41
22.275	9.39
22.325	9.36
22.375	9.34
22.425	9.31
22.475	9.29
22.525	9.26
22.575	9.24
22.625	9.21
22.675	9.19
22.725	9.17
22.775	9.14
22.825	9.12
22.875	9.09
22.925	9.07
22.975	9.05
23.025	9.02
23.075	9.0
23.125	8.98
23.175	8.95
23.225	8.93
23.275	8.91
23.325	8.88
23.375	8.86
23.425	8.84
23.475	8.81
23.525	8.79
23.575	8.77
23.625	8.75
23.675	8.72
23.725	8.7
23.775	8.68
23.825	8.66
23.875	8.63
23.925	8.61
23.975	8.59
24.025	8.57
24.075	8.55
24.125	8.52
24.175	8.5
24.225	8.48
24.275	8.46
24.325	8.44
24.375	8.42
24.425	8.39
24.475	8.37
24.525	8.35
24.575	8.33
24.625	8.31
24.675	8.29
24.725	8.27
24.775	8.25
24.825	8.23
24.875	8.2
24.925	8.18
24.975	8.16
25.025	8.14
25.075	8.12
25.125	8.1
25.175	8.08
25.225	8.06
25.275	8.04
25.325	8.02
25.375	8.0
25.425	7.98
25.475	7.96
25.525	7.94
25.575	7.92
25.625	7.9
25.675	7.88
25.725	7.86
25.775	7.84
25.825	7.82
25.875	7.8
25.925	7.78
25.975	7.77
26.025	7.75
26.075	7.73
26.125	7.71
26.175	7.69
26.225	7.67
26.275	7.65
26.325	7.63
26.375	7.61
26.425	7.6
26.475	7.58
26.525	7.56
26.575	7.54
26.625	7.52
26.675	7.5
26.725	7.49
26.775	7.47
26.825	7.45
26.875	7.43
26.925	7.41
26.975	7.4
27.025	7.38
27.075	7.36
27.125	7.34
27.175	7.33
27.225	7.31
27.275	7.29
27.325	7.27
27.375	7.26
27.425	7.24
27.475	7.22
27.525	7.2
27.575	7.19
27.625	7.17
27.675	7.15
27.725	7.14
27.775	7.12
27.825	7.1
27.875	7.09
27.925	7.07
27.975	7.05
28.025	7.04
28.075	7.02
28.125	7.0
28.175	6.99
28.225	6.97
28.275	6.96
28.325	6.94
28.375	6.92
28.425	6.91
28.475	6.89
28.525	6.88
28.575	6.86
28.625	6.84
28.675	6.83
28.725	6.81
28.775	6.8
28.825	6.78
