#median_bin_length(cM)	mean_posterior_tmrca	probability_coalesce_within_10_generation
2.025	69.71	0.0012430483829212278
2.075	69.07	0.0013218366402667216
2.125	68.43	0.0014046753896668968
2.175	67.8	0.001491720545296965
2.225	67.17	0.0015831306600568875
2.275	66.55	0.0016790667943595542
2.325	65.94	0.0017796923724212167
2.375	65.33	0.0018851730263783192
2.425	64.73	0.001995676428586731
2.475	64.13	0.0021113721124985025
2.525	63.53	0.002232431282556446
2.575	62.94	0.002359026613596349
2.625	62.36	0.0024913320402992997
2.675	61.78	0.0026295225372916786
2.725	61.21	0.0027737738905462446
2.775	60.63	0.0029242624607938804
2.825	60.07	0.003081164939711039
2.875	59.51	0.0032446580997015704
2.925	58.95	0.00341491853814299
2.975	58.4	0.0035921224170154275
3.025	57.85	0.0037764451988755656
3.075	57.3	0.003968061380177799
3.125	56.76	0.0041671442229789385
3.175	56.22	0.00437386548609181
3.225	55.69	0.004588395156775248
3.275	55.16	0.004810901184063912
3.325	54.63	0.005041549214849889
3.375	54.11	0.0052805023338293325
3.425	53.59	0.005527920808421459
3.475	53.07	0.00578396183975275
3.525	52.56	0.006048779320778235
3.575	52.06	0.006322523602581854
3.625	51.55	0.0066053412698617205
3.675	51.05	0.006897374926561141
3.725	50.56	0.007198762992556138
3.775	50.07	0.007509639512251591
3.825	49.58	0.007830133975874938
3.875	49.09	0.008160371154186273
3.925	48.61	0.008500470947249756
3.975	48.14	0.00885054824783193
4.025	47.67	0.009210712819910242
4.075	47.2	0.009581069192689183
4.125	46.74	0.009961716570434579
4.175	46.28	0.010352748758346247
4.225	45.82	0.010754254104601086
4.275	45.37	0.011166315458607527
4.325	44.92	0.011589010145425198
4.375	44.48	0.012022409956215565
4.425	44.04	0.012466581154505657
4.475	43.61	0.01292158449796521
4.525	43.18	0.013387475275320176
4.575	42.76	0.013864303357951798
4.625	42.34	0.014352113265662188
4.675	41.92	0.014850944246024511
4.725	41.51	0.01536083036667663
4.775	41.11	0.015881800619868065
4.825	40.71	0.016413879038521473
4.875	40.31	0.01695708482303377
4.925	39.92	0.017511432478007148
4.975	39.53	0.018076931958074884
5.025	39.15	0.01865358882196833
5.075	38.77	0.019241404393955285
5.125	38.4	0.01984037593177626
5.175	38.03	0.020450496800201126
5.225	37.67	0.021071756649335218
5.275	37.31	0.021704141596812523
5.325	36.95	0.022347634413029793
5.375	36.6	0.023002214708594315
5.425	36.26	0.023667859123182568
5.475	35.92	0.024344541515035185
5.525	35.59	0.025032233150344356
5.575	35.26	0.025730902891824496
5.625	34.93	0.026440517385795087
5.675	34.61	0.027161041247141728
5.725	34.29	0.02789243724156399
5.775	33.98	0.028634666464560345
5.825	33.68	0.029387688516643733
5.875	33.37	0.030151461674324087
5.925	33.08	0.030925943056439715
5.975	32.78	0.03171108878546111
6.025	32.5	0.032506854143436154
6.075	32.21	0.033313193722285576
6.125	31.93	0.03413006156820188
6.175	31.66	0.034957411319942934
6.225	31.39	0.03579519634085093
6.275	31.12	0.03664336984446607
6.325	30.86	0.03750188501363707
6.375	30.6	0.03837069511306735
6.425	30.35	0.039249753595265
6.475	30.1	0.040139014199895705
6.525	29.85	0.041038431046566064
6.575	29.61	0.04194795872108737
6.625	29.37	0.042867552355298155
6.675	29.14	0.04379716770054054
6.725	28.91	0.04473676119490869
6.775	28.68	0.04568629002440114
6.825	28.46	0.046645712178128795
6.875	28.24	0.04761498649774052
6.925	28.03	0.04859407272123989
6.975	27.81	0.04958293152137985
7.025	27.61	0.0505815245388268
7.075	27.4	0.05158981441029446
7.125	27.2	0.05260776479185222
7.175	27.0	0.0536353403776175
7.225	26.81	0.05467250691404277
7.275	26.62	0.05571923121001115
7.325	26.43	0.056775481142953395
7.375	26.24	0.05784122566119938
7.425	26.06	0.05891643478277393
7.475	25.88	0.06000107959084775
7.525	25.71	0.061095132226047726
7.575	25.54	0.062198565875827394
7.625	25.37	0.06331135476109831
7.675	25.2	0.06443347412031131
7.725	25.03	0.06556490019117699
7.775	24.87	0.06670561019020713
7.825	24.71	0.06785558229025251
7.875	24.56	0.06901479559620652
7.925	24.4	0.0701832301190382
7.975	24.25	0.07136086674831212
8.025	24.1	0.07254768722334444
8.075	23.96	0.07374367410313923
8.125	23.81	0.07494881073524227
8.175	23.67	0.07616308122364304
8.225	23.53	0.07738647039584783
8.275	23.39	0.07861896376924304
8.325	23.26	0.07986054751685795
8.375	23.12	0.08111120843263278
8.425	22.99	0.08237093389629147
8.475	22.86	0.08363971183791129
8.525	22.74	0.08491753070227546
8.575	22.61	0.08620437941309207
8.625	22.49	0.08750024733715422
8.675	22.37	0.08880512424851283
8.725	22.25	0.0901190002927273
8.775	22.13	0.09144186595125581
8.825	22.01	0.09277371200604173
8.875	21.9	0.09411452950434748
8.925	21.78	0.0954643097238847
8.975	21.67	0.0968230441382833
9.025	21.56	0.09819072438294174
9.075	21.46	0.09956734222129329
9.125	21.35	0.10095288951152007
9.175	21.24	0.10234735817374964
9.225	21.14	0.10375074015775543
9.275	21.04	0.10516302741118876
9.325	20.94	0.10658421184836275
9.375	20.84	0.1080142853196055
9.425	20.74	0.1094532395812026
9.475	20.64	0.11090106626593947
9.525	20.55	0.11235775685425808
9.575	20.45	0.11382330264603759
9.625	20.36	0.11529769473300777
9.675	20.27	0.11678092397180222
9.725	20.18	0.11827298095765665
9.775	20.09	0.11977385599875548
9.825	20.0	0.12128353909123203
9.875	19.91	0.12280201989482023
9.925	19.82	0.12432928770916123
9.975	19.74	0.12586533145076342
10.025	19.65	0.12741013963061198
10.075	19.57	0.12896370033243348
10.125	19.49	0.13052600119159927
10.175	19.41	0.13209702937467874
10.225	19.33	0.1336767715596266
10.275	19.25	0.1352652139166053
10.325	19.17	0.13686234208943626
10.375	19.09	0.13846814117767284
10.425	19.01	0.14008259571928802
10.475	18.94	0.14170568967397623
10.525	18.86	0.1433374064070532
10.575	18.79	0.14497772867395436
10.625	18.71	0.14662663860532266
10.675	18.64	0.14828411769267533
10.725	18.57	0.14995014677464552
10.775	18.49	0.15162470602379086
10.825	18.42	0.15330777493395809
10.875	18.35	0.15499933230819998
10.925	18.28	0.15669935624723363
10.975	18.21	0.15840782413843324
11.025	18.15	0.16012471264534975
11.075	18.08	0.1618499976977496
11.125	18.01	0.16358365448216397
11.175	17.95	0.16532565743293975
11.225	17.88	0.16707598022378686
11.275	17.81	0.1688345957598143
11.325	17.75	0.17060147617004184
11.375	17.69	0.17237659280038684
11.425	17.62	0.17415991620711585
11.475	17.56	0.17595141615075088
11.525	17.5	0.17775106159042736
11.575	17.43	0.17955882067869405
11.625	17.37	0.18137466075674702
11.675	17.31	0.1831985483500932
11.725	17.25	0.18503044916463618
11.775	17.19	0.18687032808317205
11.825	17.13	0.18871814916229845
11.875	17.07	0.19057387562971972
11.925	17.01	0.19243746988194985
11.975	16.95	0.19430889348240052
12.025	16.9	0.1961881071598541
12.075	16.84	0.19807507080730688
12.125	16.78	0.19996974348118857
12.175	16.73	0.2018720834009368
12.225	16.67	0.20378204794893565
12.275	16.61	0.20569959367079943
12.325	16.56	0.20762467627600814
12.375	16.5	0.20955725063887734
12.425	16.45	0.211497270799863
12.475	16.39	0.21344468996719823
12.525	16.34	0.21539946051884992
12.575	16.29	0.21736153400479244
12.625	16.23	0.21933086114959646
12.675	16.18	0.22130739185532255
12.725	16.13	0.22329107520471758
12.775	16.07	0.22528185946470836
12.825	16.02	0.22727969209018356
12.875	15.97	0.22928451972806824
12.925	15.92	0.23129628822167417
12.975	15.87	0.23331494261532906
13.025	15.82	0.23534042715927933
13.075	15.77	0.23737268531485822
13.125	15.72	0.2394116597599136
13.175	15.67	0.24145729239449948
13.225	15.62	0.243509524346813
13.275	15.57	0.2455682959793859
13.325	15.52	0.24763354689551523
13.375	15.47	0.2497052159459344
13.425	15.42	0.25178324123571694
13.475	15.37	0.25386756013141315
13.525	15.32	0.2559581092684079
13.575	15.27	0.25805482455850226
13.625	15.23	0.2601576411977094
13.675	15.18	0.2622664936742604
13.725	15.13	0.2643813157768217
13.775	15.09	0.26650204060291105
13.825	15.04	0.2686286005675134
13.875	14.99	0.27076092741188973
13.925	14.95	0.2728989522125776
13.975	14.9	0.27504260539057107
14.025	14.85	0.27719181672068827
14.075	14.81	0.27934651534110777
14.125	14.76	0.2815066297630838
14.175	14.72	0.28367208788082343
14.225	14.67	0.2858428169815274
14.275	14.63	0.2880187437555931
14.325	14.58	0.29019979430696713
14.375	14.54	0.29238589416364874
14.425	14.49	0.2945769682883435
14.475	14.45	0.29677294108924823
14.525	14.41	0.2989737364309839
14.575	14.36	0.30117927764565205
14.625	14.32	0.30338948754402245
14.675	14.27	0.305604288426847
14.725	14.23	0.30782360209628695
14.775	14.19	0.3100473498674608
14.825	14.15	0.3122754525800979
14.875	14.1	0.31450783061030296
14.925	14.06	0.3167444038824197
14.975	14.02	0.31898509188098984
15.025	13.98	0.3212298136628124
15.075	13.93	0.3234784878690824
15.125	13.89	0.3257310327376244
15.175	13.85	0.32798736611519486
15.225	13.81	0.330247405469874
15.275	13.77	0.33251106790351614
15.325	13.73	0.33477827016427575
15.375	13.69	0.3370489286591934
15.425	13.64	0.339322959466844
15.475	13.6	0.341600278350033
15.525	13.56	0.3438808007685514
15.575	13.52	0.34616444189196777
15.625	13.48	0.3484511166124729
15.675	13.44	0.3507407395577514
15.725	13.4	0.35303322510389556
15.775	13.36	0.355328487388342
15.825	13.32	0.3576264403228413
15.875	13.28	0.3599269976064383
15.925	13.24	0.36223007273848135
15.975	13.2	0.3645355790316344
16.025	13.17	0.3668434296249067
16.075	13.13	0.3691535374966795
16.125	13.09	0.37146581547773927
16.175	13.05	0.37378017626430826
16.225	13.01	0.3760965324310634
16.275	12.97	0.3784147964441467
